Galaxy,Supernova,Ra,Dec,ESO_xCoord,ESO_yCoord,Type,ESO_Intensity,MUSE_xCoord,MUSE_yCoord,MUSE_Intensity,ESO-MPG_Hasub_wcomb_corr,MUSEResolution,MUSEmap,Removed,InMuseSample
NGC4303,SN1999gn,185.48757916666665,4.462669444444445,1604.500600192638,1567.7047580074027,II,13.342916,293.24830982453614,250.31122166681607,7414.512763734314,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4303_Hasub_flux_corrs.fits,0.78,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC4303-0.78asec_MAPS.fits,False,True
NGC4303,SN2014dt,185.48987083333333,4.471811111111111,1569.8828357326784,1706.2648827027047,Ia-pec,1.6201662,252.1258384341976,414.86177898786053,535.934601376541,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4303_Hasub_flux_corrs.fits,0.78,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC4303-0.78asec_MAPS.fits,False,True
NGC4303,SN1964F,185.4698125,4.473770833333334,1872.9758347319894,1735.947240139135,II,0.684507,612.0763054158263,450.1362898317239,230.26304785184644,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4303_Hasub_flux_corrs.fits,0.78,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC4303-0.78asec_MAPS.fits,False,True
NGC4303,AT2021ilb,185.47135,4.469083333333334,1849.7396508748284,1664.9015526849198,Candidate,3.892858,584.486487082436,365.760978657737,2437.537010823405,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4303_Hasub_flux_corrs.fits,0.78,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC4303-0.78asec_MAPS.fits,True,False
NGC4303,SN1926A,185.47536458333335,4.493354166666666,1789.0989892241728,2032.7709223860497,II,1.4890964,512.4416302807093,802.6354563728569,647.2625920776151,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4303_Hasub_flux_corrs.fits,0.78,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC4303-0.78asec_MAPS.fits,False,True
NGC4303,SN2006ov,185.48042083333334,4.4879694444444445,1712.6932951617073,1951.1612057896295,II,3.713479,421.70864998948576,705.7103298574948,2040.6701510337875,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4303_Hasub_flux_corrs.fits,0.78,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC4303-0.78asec_MAPS.fits,False,True
NGC4321,SN2020oi,185.72887500000002,15.823599999999999,1535.5203526823702,1555.2264619973816,Ic,38.274704,584.5705293190107,477.473449256827,17928.9494868185,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4321_Hasub_flux_corrs.fits,1.16,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC4321-1.16asec_MAPS.fits,False,True
NGC4321,SN2019ehk,185.73395833333333,15.826119444444444,1461.4184155295948,1593.4246357829566,Ib,0.058129236,496.53771147548224,522.8221118348936,287.4097081519414,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4321_Hasub_flux_corrs.fits,1.16,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC4321-1.16asec_MAPS.fits,False,True
NGC4321,PTSS-19clju,185.73407,15.826055,1459.7901352669974,1592.448502816314,Unclassified,1.0584087,494.6039059713586,521.6621063526735,265.2989619893281,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4321_Hasub_flux_corrs.fits,1.16,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC4321-1.16asec_MAPS.fits,True,False
NGC4321,SN2006X,185.72495833333335,15.80918888888889,1592.573880105478,1336.8309173771245,Ia,1.0231339,652.4108996458007,218.07592520832188,226.67495822692337,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4321_Hasub_flux_corrs.fits,1.16,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC4321-1.16asec_MAPS.fits,False,True
NGC4321,SN1914A,185.73604166666667,15.791805555555555,1430.900436475453,1073.4500876197974,Unclassified,0.3225126,,,,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4321_Hasub_flux_corrs.fits,1.16,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC4321-1.16asec_MAPS.fits,False,False
NGC4321,SN1901B,185.6970833333333,15.82375,1999.025186668254,1557.4202813738416,I,0.9168733,1135.1351509168808,480.2301246432617,830.4634374296642,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4321_Hasub_flux_corrs.fits,1.16,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC4321-1.16asec_MAPS.fits,False,True
NGC4321,SN1979C,185.74429166666667,15.797688888888889,1310.629505773522,1162.6404116098888,IIL,1.1592606,317.56468914293606,11.07592485880076,nan,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4321_Hasub_flux_corrs.fits,1.16,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC4321-1.16asec_MAPS.fits,False,False
