0,1,2,3,4,5,6,7,8,9,10,11,12
1.13E+07,-3.421,40.080,54.604,-30.000,-30.000,54.139,1,6.2,1,6.1,-30.000,-30.000
1.14E+07,-3.424,40.077,54.608,-30.000,-30.000,54.139,1,6.1,1,6.0,-30.000,-30.000
1.15E+07,-3.427,40.074,54.612,-30.000,-30.000,54.139,1,6.0,1,5.9,-30.000,-30.000
1.16E+07,-3.430,40.071,54.616,-30.000,-30.000,54.139,1,5.9,1,5.8,-30.000,-30.000
1.17E+07,-3.432,40.069,54.620,-30.000,-30.000,54.139,1,5.8,1,5.7,-30.000,-30.000
1.18E+07,-3.435,40.066,54.623,-30.000,-30.000,54.139,1,5.7,1,5.6,-30.000,-30.000
1.19E+07,-3.438,40.063,54.627,-30.000,-30.000,54.139,1,5.6,1,5.5,-30.000,-30.000
1.2E+07,-3.440,40.061,54.631,-30.000,-30.000,54.139,1,5.5,1,5.5,-30.000,-30.000
1.21E+07,-3.443,40.058,54.634,-30.000,-30.000,54.139,1,5.4,1,5.4,-30.000,-30.000
1.22E+07,-3.445,40.056,54.638,-30.000,-30.000,54.139,1,5.3,1,5.3,-30.000,-30.000
1.23E+07,-3.448,40.053,54.642,-30.000,-30.000,54.139,1,5.2,1,5.2,-30.000,-30.000
1.24E+07,-3.450,40.051,54.645,-30.000,-30.000,54.139,1,5.1,1,5.1,-30.000,-30.000
1.25E+07,-3.453,40.048,54.649,-30.000,-30.000,54.139,1,5.1,1,5.0,-30.000,-30.000
1.26E+07,-3.454,40.047,54.652,-30.000,-30.000,54.139,1,5.0,1,4.9,-30.000,-30.000
1.27E+07,-3.456,40.045,54.655,-30.000,-30.000,54.139,1,4.9,1,4.8,-30.000,-30.000
1.28E+07,-3.458,40.042,54.659,-30.000,-30.000,54.139,1,4.8,1,4.8,-30.000,-30.000
1.29E+07,-3.461,40.040,54.662,-30.000,-30.000,54.139,1,4.7,1,4.7,-30.000,-30.000
1.3E+07,-3.463,40.038,54.665,-30.000,-30.000,54.139,1,4.7,1,4.6,-30.000,-30.000
1.31E+07,-3.465,40.035,54.668,-30.000,-30.000,54.139,1,4.6,1,4.5,-30.000,-30.000
1.32E+07,-3.468,40.033,54.672,-30.000,-30.000,54.139,1,4.5,1,4.5,-30.000,-30.000
1.33E+07,-3.470,40.031,54.675,-30.000,-30.000,54.139,1,4.4,1,4.4,-30.000,-30.000
1.34E+07,-3.472,40.029,54.678,-30.000,-30.000,54.139,1,4.4,1,4.3,-30.000,-30.000
1.35E+07,-3.474,40.027,54.681,-30.000,-30.000,54.139,1,4.3,1,4.2,-30.000,-30.000
1.36E+07,-3.477,40.024,54.684,-30.000,-30.000,54.139,1,4.2,1,4.2,-30.000,-30.000
1.37E+07,-3.479,40.022,54.687,-30.000,-30.000,54.139,1,4.1,1,4.1,-30.000,-30.000
1.38E+07,-3.481,40.020,54.690,-30.000,-30.000,54.139,1,4.1,1,4.0,-30.000,-30.000
1.39E+07,-3.483,40.018,54.693,-30.000,-30.000,54.139,1,4.0,1,4.0,-30.000,-30.000
1.4E+07,-3.485,40.016,54.696,-30.000,-30.000,54.139,1,3.9,1,3.9,-30.000,-30.000
1.41E+07,-3.487,40.014,54.698,-30.000,-30.000,54.139,1,3.9,1,3.8,-30.000,-30.000
1.42E+07,-3.489,40.012,54.701,-30.000,-30.000,54.139,1,3.8,1,3.8,-30.000,-30.000
1.43E+07,-3.491,40.010,54.704,-30.000,-30.000,54.139,1,3.7,1,3.7,-30.000,-30.000
1.44E+07,-3.493,40.008,54.707,-30.000,-30.000,54.139,1,3.7,1,3.7,-30.000,-30.000
1.45E+07,-3.495,40.006,54.709,-30.000,-30.000,54.139,1,3.6,1,3.6,-30.000,-30.000
1.46E+07,-3.497,40.004,54.712,-30.000,-30.000,54.139,1,3.6,1,3.5,-30.000,-30.000
1.47E+07,-3.499,40.002,54.715,-30.000,-30.000,54.139,1,3.5,1,3.5,-30.000,-30.000
1.48E+07,-3.501,40.000,54.717,-30.000,-30.000,54.139,1,3.4,1,3.4,-30.000,-30.000
1.49E+07,-3.503,39.998,54.720,-30.000,-30.000,54.139,1,3.4,1,3.4,-30.000,-30.000
1.5E+07,-3.505,39.996,54.723,-30.000,-30.000,54.139,1,3.3,1,3.3,-30.000,-30.000
1.51E+07,-3.507,39.994,54.725,-30.000,-30.000,54.139,1,3.3,1,3.2,-30.000,-30.000
1.52E+07,-3.509,39.992,54.728,-30.000,-30.000,54.139,1,3.2,1,3.2,-30.000,-30.000
1.53E+07,-3.511,39.990,54.730,-30.000,-30.000,54.139,1,3.2,1,3.1,-30.000,-30.000
1.54E+07,-3.513,39.988,54.733,-30.000,-30.000,54.139,1,3.1,1,3.1,-30.000,-30.000
1.55E+07,-3.515,39.986,54.735,-30.000,-30.000,54.139,1,3.1,1,3.0,-30.000,-30.000
1.56E+07,-3.517,39.984,54.738,-30.000,-30.000,54.139,1,3.0,1,3.0,-30.000,-30.000
1.57E+07,-3.518,39.983,54.740,-30.000,-30.000,54.139,1,3.0,1,2.9,-30.000,-30.000
1.58E+07,-3.520,39.981,54.742,-30.000,-30.000,54.139,1,2.9,1,2.9,-30.000,-30.000
1.59E+07,-3.522,39.979,54.745,-30.000,-30.000,54.139,1,2.9,1,2.8,-30.000,-30.000
1.6E+07,-3.524,39.977,54.747,-30.000,-30.000,54.139,1,2.8,1,2.8,-30.000,-30.000
1.61E+07,-3.526,39.975,54.749,-30.000,-30.000,54.139,1,2.8,1,2.7,-30.000,-30.000
1.62E+07,-3.528,39.973,54.752,-30.000,-30.000,54.139,1,2.7,1,2.7,-30.000,-30.000
1.63E+07,-3.529,39.972,54.754,-30.000,-30.000,54.139,1,2.7,1,2.6,-30.000,-30.000
1.64E+07,-3.531,39.970,54.756,-30.000,-30.000,54.139,1,2.6,1,2.6,-30.000,-30.000
1.65E+07,-3.533,39.968,54.758,-30.000,-30.000,54.139,1,2.6,1,2.5,-30.000,-30.000
1.66E+07,-3.535,39.966,54.761,-30.000,-30.000,54.139,1,2.5,1,2.5,-30.000,-30.000
1.67E+07,-3.536,39.965,54.763,-30.000,-30.000,54.139,1,2.5,1,2.4,-30.000,-30.000
1.68E+07,-3.538,39.963,54.765,-30.000,-30.000,54.139,1,2.4,1,2.4,-30.000,-30.000
1.69E+07,-3.540,39.961,54.767,-30.000,-30.000,54.139,1,2.4,1,2.4,-30.000,-30.000
1.7E+07,-3.541,39.960,54.769,-30.000,-30.000,54.139,1,2.3,1,2.3,-30.000,-30.000
1.71E+07,-3.543,39.958,54.771,-30.000,-30.000,54.139,1,2.3,1,2.3,-30.000,-30.000
1.72E+07,-3.545,39.956,54.773,-30.000,-30.000,54.139,1,2.3,1,2.2,-30.000,-30.000
1.73E+07,-3.546,39.955,54.775,-30.000,-30.000,54.139,1,2.2,1,2.2,-30.000,-30.000
1.74E+07,-3.548,39.953,54.778,-30.000,-30.000,54.139,1,2.2,1,2.1,-30.000,-30.000
1.75E+07,-3.550,39.951,54.780,-30.000,-30.000,54.139,1,2.1,1,2.1,-30.000,-30.000
1.76E+07,-3.551,39.950,54.782,-30.000,-30.000,54.139,1,2.1,1,2.1,-30.000,-30.000
1.77E+07,-3.553,39.948,54.784,-30.000,-30.000,54.139,1,2.0,1,2.0,-30.000,-30.000
1.78E+07,-3.554,39.947,54.786,-30.000,-30.000,54.139,1,2.0,1,2.0,-30.000,-30.000
1.79E+07,-3.554,39.947,54.788,-30.000,-30.000,54.139,1,2.0,1,1.9,-30.000,-30.000
1.8E+07,-3.556,39.945,54.790,-30.000,-30.000,54.139,1,1.9,1,1.9,-30.000,-30.000
1.81E+07,-3.557,39.944,54.791,-30.000,-30.000,54.139,1,1.9,1,1.9,-30.000,-30.000
1.82E+07,-3.559,39.942,54.793,-30.000,-30.000,54.139,1,1.8,1,1.8,-30.000,-30.000
1.83E+07,-3.560,39.941,54.795,-30.000,-30.000,54.139,1,1.8,1,1.8,-30.000,-30.000
1.84E+07,-3.562,39.939,54.797,-30.000,-30.000,54.139,1,1.8,1,1.8,-30.000,-30.000
1.85E+07,-3.563,39.938,54.799,-30.000,-30.000,54.139,1,1.7,1,1.7,-30.000,-30.000
1.86E+07,-3.565,39.936,54.801,-30.000,-30.000,54.139,1,1.7,1,1.7,-30.000,-30.000
1.87E+07,-3.566,39.935,54.803,-30.000,-30.000,54.139,1,1.7,1,1.6,-30.000,-30.000
1.88E+07,-3.568,39.933,54.805,-30.000,-30.000,54.139,1,1.6,1,1.6,-30.000,-30.000
1.89E+07,-3.569,39.932,54.807,-30.000,-30.000,54.139,1,1.6,1,1.6,-30.000,-30.000
1.9E+07,-3.571,39.930,54.808,-30.000,-30.000,54.139,1,1.6,1,1.5,-30.000,-30.000
1.91E+07,-3.572,39.929,54.810,-30.000,-30.000,54.139,1,1.5,1,1.5,-30.000,-30.000
1.92E+07,-3.573,39.928,54.812,-30.000,-30.000,54.139,1,1.5,1,1.5,-30.000,-30.000
1.93E+07,-3.575,39.926,54.814,-30.000,-30.000,54.139,1,1.5,1,1.4,-30.000,-30.000
1.94E+07,-3.576,39.924,54.816,-30.000,-30.000,54.139,1,1.4,1,1.4,-30.000,-30.000
1.95E+07,-3.578,39.923,54.817,-30.000,-30.000,54.139,1,1.4,1,1.4,-30.000,-30.000
1.96E+07,-3.579,39.922,54.819,-30.000,-30.000,54.139,1,1.4,1,1.3,-30.000,-30.000
1.97E+07,-3.581,39.920,54.821,-30.000,-30.000,54.139,1,1.3,1,1.3,-30.000,-30.000
